_id,Station ID,Station Name,Direction,MTO Region,Highway or Road,Location Description,Day of Week Number,Hour,Single,Multi,Auto,total_trucks,Total vehicles
6424,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,15,36,44,1216,79,1295
6425,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,16,28,49,1137,77,1214
6426,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,17,21,40,1054,62,1116
6427,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,18,22,44,768,66,834
6428,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,19,15,29,678,44,722
6429,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,20,12,29,491,40,532
6430,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,21,9,30,354,40,394
6431,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,22,7,31,264,38,301
6432,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,23,3,17,138,20,158
6433,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,0,3,9,49,12,61
6434,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,1,2,14,24,16,40
6435,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,2,3,15,30,18,48
6436,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,3,4,17,22,20,42
6437,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,4,5,14,36,20,55
6438,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,5,4,19,125,22,148
6439,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,6,4,32,239,36,275
6440,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,7,10,38,430,48,478
6441,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,8,14,38,641,52,692
6442,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,9,21,47,702,68,770
6443,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,10,16,57,842,72,914
6444,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,11,16,44,877,60,938
6445,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,12,30,56,939,86,1025
6446,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,13,27,42,878,69,947
6447,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,14,26,48,978,74,1052
6448,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,15,31,41,994,72,1066
6449,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,16,26,32,1028,58,1086
